V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
R_5aPf7SUL4T5Qwmh,Default Response Set,Anonymous,,,98.224.184.50,0,2014-05-17 08:24:43,2014-05-17 08:30:42,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,5,4,1,3,2,1,1,1,1,,,,,3,3,3,5,3,5,21.634,32.346000000000004,33.036,6,1,,1,,,,5,1,5,4,1,4,24.066,33.461999999999996,36.219,8,1,,,1,,,4,2,4,5,2,5,60.73,69.817,70.688,6,1,,,,1,,5,1,5,5,1,4,14.918,52.483,57.778,9,1,,,,,1,4,2,4,5,2,5,22.484,33.414,35.149,6,1,3,3,,,4,,,7,1,7,1,6,2,6,7,2,2,1,33,No.,42.637603759766,-82.582298278809,-1,
R_818kFMqNNzfWG8t,Default Response Set,Anonymous,,,98.244.146.126,0,2014-05-17 08:22:51,2014-05-17 08:31:20,1,safe sex,food stamps,tax breaks,intelligent design,control,6,6,2,3,1,4,5,1,1,1,,,,1,,5,1,5,3,1,3,81.219,91.04399999999998,92.029,6,1,,1,,,,5,1,5,2,1,2,55.14,64.173,65.155,6,1,,,1,,,4,1,4,5,1,3,46.195,57.44599999999999,58.537,6,1,,,,,1,1,4,2,5,3,4,83.304,100.22299999999998,101.627,6,1,1,,,,,3,2,3,4,1,4,39.085,46.39,47.479,6,1,2,2,,,3,,,3,2,7,5,6,5,6,6,1,2,2,38,,31.997100830078,-80.964500427246,-1,
R_d6TEJiHl5tFlGmN,Default Response Set,Anonymous,,,184.57.51.238,0,2014-05-17 08:25:01,2014-05-17 08:32:07,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,4,2,3,5,1,1,1,1,,1,,,,2,4,3,4,3,4,3.278,62.132,62.699,13,1,1,,,,,4,2,4,4,2,4,1.824,53.99499999999999,54.809,13,1,,,1,,,3,3,4,4,1,4,1.165,53.425999999999995,53.801,12,1,,,,,1,3,3,4,4,2,4,2.071,54.17299999999999,54.493,8,1,,,,1,,1,5,4,5,2,5,3.853,83.05900000000001,91.884,12,1,3,2,,,6,,,2,4,6,4,7,1,7,7,1,1,2,25,,40.023101806641,-83.180999755859,-1,
R_1Yr6dAzktinZeip,Default Response Set,Anonymous,,,71.180.180.182,0,2014-05-17 08:23:48,2014-05-17 08:32:36,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,3,1,2,4,5,1,1,1,1,,,,,3,3,3,4,4,4,164.136,176.27399999999997,177.878,10,1,,1,,,,5,1,4,2,2,2,44.247,67.354,68.831,10,1,,,1,,,3,3,4,4,3,3,65.395,79.30499999999999,80.965,7,1,,,,1,,3,3,3,2,3,2,46.659,58.285999999999994,59.269,7,1,,,,,1,2,4,2,4,4,4,45.877,52.440000000000005,53.478,6,1,3,4,,,4,,,5,5,5,3,4,6,5,6,6,6,1,28,,28.272201538086,-82.33219909668,-1,
R_9H5j8ohWM2NULid,Default Response Set,Anonymous,,,71.51.138.166,0,2014-05-17 08:24:00,2014-05-17 08:34:00,1,tax breaks,intelligent design,food stamps,safe sex,control,6,6,5,4,3,2,1,1,1,1,,,1,,,3,2,3,3,2,2,52.302,65.361,67.58,6,1,,,,,1,3,2,3,3,2,3,54.112,70.452,74.467,6,1,,1,,,,2,3,3,4,3,4,53.261,71.05199999999999,73.061,7,1,,,,1,,3,3,3,3,2,2,68.96,96.519,106.428,8,1,1,,,,,2,4,2,4,4,4,68.776,79.914,89.38,6,1,2,2,,,2,,,5,4,6,2,3,5,4,4,4,4,1,38,,45.072494506836,-93.45580291748,-1,
R_dm1mryPBXrsWXel,Default Response Set,Anonymous,,,76.125.61.125,0,2014-05-17 08:26:34,2014-05-17 08:34:10,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,2,3,5,4,1,1,1,1,,,1,,,4,2,3,3,3,3,44.464,57.07199999999999,58.073,9,1,,1,,,,4,2,4,2,2,2,39.968,46.927,47.457,7,1,1,,,,,3,2,3,4,1,4,33.083,43.349,44.269,6,1,,,,1,,4,1,4,2,1,2,0.497,66.548,67.979,7,1,,,,,1,4,2,2,4,3,3,109.11,128.34300000000002,129.261,9,1,3,3,,,5,,,4,3,5,5,3,6,5,5,2,2,1,27,no,38.116500854492,-121.16760253906,-1,
R_0rnkzmZMLaWEmJn,Default Response Set,Anonymous,,,69.108.70.186,0,2014-05-17 08:26:38,2014-05-17 08:34:42,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,3,5,4,2,1,1,1,1,1,,,,,3,3,4,2,2,3,42.877,49.626999999999995,55.46,6,1,,1,,,,4,2,4,2,2,2,49.111,55.355999999999995,58.757,6,1,,,,1,,2,4,3,3,3,3,42.149,54.079,56.431,6,1,,,1,,,4,2,4,2,2,2,49.958,61.050999999999995,65.477,6,1,,,,,1,3,3,4,3,3,3,64.572,78.88500000000002,83.12,6,1,3,5,,,5,,,4,4,3,5,5,5,4,5,2,3,1,60,good study,33.835296630859,-117.91450500488,-1,
R_8jFjIzjyYxV3dQh,Default Response Set,Anonymous,,,65.96.122.128,0,2014-05-17 08:27:41,2014-05-17 08:34:46,1,control,food stamps,tax breaks,intelligent design,safe sex,6,6,4,1,3,2,5,1,1,1,1,,,,,1,5,3,4,3,4,41.503,51.068999999999996,51.917,6,1,,1,,,,3,4,3,5,3,4,45.233,66.12899999999999,67.085,7,1,,,1,,,1,5,3,4,3,4,43.452,53.41799999999999,54.17,6,1,,,,,1,4,2,5,3,1,3,17.379,64.92999999999999,65.948,7,1,,,,1,,3,3,4,4,1,4,38.446,47.364000000000004,48.121,6,1,3,5,,,6,,,5,1,7,1,6,6,7,7,1,4,1,49,"Thanks for using MTurk, interesting food for thought!",43.644195556641,-72.306602478027,-1,
R_6hViolB7Htwwv8F,Default Response Set,Anonymous,,,72.224.188.118,0,2014-05-17 08:27:28,2014-05-17 08:34:52,1,tax breaks,control,safe sex,food stamps,intelligent design,6,6,2,3,1,4,5,1,1,1,,,1,,,,1,4,2,2,2,5.011,18.962,19.88,10,1,1,,,,,5,1,4,2,2,2,14.587,27.403,29.784,8,1,,,,1,,4,1,4,3,2,3,56.515,81.29299999999999,82.143,14,1,,1,,,,4,1,5,2,2,2,20.947,35.33099999999999,35.905,6,1,,,,,1,3,4,2,4,4,4,10.497,101.57599999999998,102.624,11,1,2,1,,,1,,,7,1,7,1,5,6,2,4,2,2,1,27,"This was a weird sentence: ""By providing these individuals with information about the popularity of safe-sex educational programs, policymakers can expect a greater number of a greater number of parents to actively enroll their children into these intelligent design educational programs."" /  / So is it a hybrid safe sex/intelligent design course? Or perhaps telling parents about the popularity of safe-sex programs causes parents to enroll kids in intelligent design courses?",44.40510559082,-69.756698608398,-1,
R_bJWxFJrdyWxUAHH,Default Response Set,Anonymous,,,24.131.97.60,0,2014-05-17 08:28:25,2014-05-17 08:34:55,1,intelligent design,tax breaks,safe sex,food stamps,control,6,6,4,1,3,2,5,1,1,1,,,,,1,5,1,5,1,1,1,22.193,32.513000000000005,33.351,7,1,,,1,,,3,2,5,1,1,1,67.557,85.49999999999998,86.44,6,1,,,,1,,2,4,2,4,4,4,24.955,36.107,37.204,6,1,,1,,,,3,3,3,4,2,2,42.994,55.747,57.976,6,1,1,,,,,1,5,1,5,5,3,24.502,40.75799999999999,41.532,8,1,1,7,,,7,,,3,3,3,7,7,5,6,6,1,1,2,55,,40.317794799805,-79.717697143555,-1,
R_ePfmGv2i4rdWKbP,Default Response Set,Anonymous,,,72.64.33.140,0,2014-05-17 08:30:15,2014-05-17 08:34:56,1,control,tax breaks,food stamps,intelligent design,safe sex,6,6,5,2,4,3,1,1,1,1,1,,,,,2,4,2,4,2,4,10.32,19.512000000000004,20.518,7,1,,,1,,,2,4,3,4,3,3,28.961,45.401,46.543,8,1,,1,,,,2,4,3,4,3,3,20.643,27.104,28.054,6,1,,,,,1,2,4,3,4,3,3,10.729,18.247999999999998,19.222,6,1,,,,1,,2,4,2,5,4,3,34.081,46.913,47.936,6,1,2,2,,,2,,,4,4,6,2,2,5,3,3,5,5,1,70,"No questions, comments, or suggestions.",36.819000244141,-76.27490234375,-1,
R_8csK8m1eONSo0hn,Default Response Set,Anonymous,,,69.136.131.131,0,2014-05-17 08:27:19,2014-05-17 08:35:27,1,safe sex,control,tax breaks,intelligent design,food stamps,6,6,3,4,5,1,2,1,1,1,,,,1,,5,2,3,3,,4,31.473,50.113,51.532,6,1,1,,,,,4,2,5,3,1,2,39.353,64.07199999999999,65.438,7,1,,,1,,,4,3,4,4,2,3,32.043,70.848,72.198,7,1,,,,,1,3,4,2,5,4,5,62.487,79.38600000000001,81.955,6,1,,1,,,,3,2,3,4,3,4,42.687,59.257999999999996,60.206,6,1,2,2,,,2,,,5,1,6,3,2,5,1,1,5,3,2,25,,42.266799926758,-83.856201171875,-1,
R_2hNlewN1ICCS2vX,Default Response Set,Anonymous,,,66.25.172.229,0,2014-05-17 08:30:27,2014-05-17 08:35:28,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,1,5,4,3,2,1,1,1,1,,,,,1,5,1,5,1,5,23.852,33.22,33.825,6,1,,,1,,,5,2,5,2,1,,36.967,65.382,65.963,9,1,,1,,,,1,5,1,5,1,,18.926,23.582,24.171,6,1,,,,1,,1,5,1,5,1,5,23.054,30.741999999999997,31.332,6,1,,,,,1,1,5,1,5,1,5,49.606,55.91,56.452,6,1,3,6,,,7,,,3,7,1,6,7,5,3,7,1,1,2,28,,29.47639465332,-98.349098205566,-1,
R_b3I0SDp8Lek90Gh,Default Response Set,Anonymous,,,76.125.61.125,0,2014-05-17 08:26:35,2014-05-17 08:35:35,1,safe sex,food stamps,intelligent design,tax breaks,control,6,6,3,2,4,1,5,1,1,1,,,,1,,5,1,4,1,1,1,39.232,47.3,48.259,7,1,,1,,,,3,2,3,3,3,3,85.379,93.36800000000001,94.549,7,1,,,,,1,4,1,4,2,1,2,58.61,67.232,67.941,8,1,,,1,,,3,2,3,4,2,3,92.325,101.595,102.592,6,1,1,,,,,3,3,2,4,2,3,36.335,45.242,46.159,6,1,2,4,,,4,,,5,2,5,4,3,6,5,5,3,2,2,23,,38.116500854492,-121.16760253906,-1,
R_78V2iYkqMLFtau1,Default Response Set,Anonymous,,,92.84.161.253,0,2014-05-17 08:32:47,2014-05-17 08:35:47,1,intelligent design,safe sex,control,food stamps,tax breaks,6,6,3,4,5,1,2,1,1,1,,,,,1,2,3,4,3,2,2,26.509,28.325,29.075,6,1,,,,1,,4,3,2,2,3,4,3.452,5.0680000000000005,5.505,6,1,1,,,,,2,3,4,2,3,3,7.505,16.993,17.511,6,1,,1,,,,3,2,4,4,3,4,54.467,57.04299999999999,57.74,6,1,,,1,,,2,3,4,3,3,4,2.662,5.23,5.997,6,1,2,3,,,5,,,6,5,7,3,3,5,3,5,5,6,1,23,,47.75,26.666702270508,-1,
R_bI6OCFkBTGx81Xn,Default Response Set,Anonymous,,,216.175.102.56,0,2014-05-17 08:31:34,2014-05-17 08:35:50,1,control,tax breaks,safe sex,intelligent design,food stamps,6,6,1,4,3,2,5,1,1,1,1,,,,,1,5,3,5,3,4,23.354,34.153,34.832,6,1,,,1,,,4,1,4,2,1,3,28.168,37.662,39.061,7,1,,,,1,,4,2,3,3,3,3,29.237,37.13399999999999,38.003,6,1,,,,,1,3,3,3,3,3,3,29.3,33.035,34.038,6,1,,1,,,,4,2,4,3,2,3,16.69,25.419,26.311,7,1,2,3,,,3,,,7,1,7,1,2,6,2,4,1,1,1,8,,33.870300292969,-117.92530059814,-1,
R_5hCjARURy6J5WL3,Default Response Set,Anonymous,,,67.252.85.2,0,2014-05-17 08:28:59,2014-05-17 08:36:32,1,safe sex,tax breaks,control,intelligent design,food stamps,6,6,3,2,1,4,5,1,1,1,,,,1,,3,3,3,4,3,4,32.617,39.63499999999999,40.368,6,1,,,1,,,4,2,4,2,2,2,80.924,88.86000000000001,89.672,7,1,1,,,,,4,2,3,4,3,4,43.222,53.477,54.444,7,1,,,,,1,3,3,2,4,4,4,47.396,55.413000000000004,56.176,6,1,,1,,,,4,2,3,3,3,3,123.703,129.054,131.26,6,1,2,2,,,5,,,2,4,5,6,5,2,6,6,2,2,2,31,,42.161407470703,-75.176803588867,-1,
R_6xmwmVIC17K7FTT,Default Response Set,Anonymous,,,174.58.144.79,0,2014-05-17 08:30:23,2014-05-17 08:36:34,1,food stamps,safe sex,tax breaks,intelligent design,control,6,6,5,3,4,1,2,1,1,1,,1,,,,1,5,1,5,5,5,31.692,42.251999999999995,43.627,7,1,,,,1,,2,4,3,4,3,5,25.929,39.886,44.687,7,1,,,1,,,2,3,2,4,4,5,14.765,39.355999999999995,41.869,6,1,,,,,1,3,2,3,3,2,3,41.455,56.509,60.952,7,1,1,,,,,3,2,3,4,3,3,24.496,44.479000000000006,46.135,6,1,3,3,,,4,,,5,4,7,6,4,1,6,4,4,2,2,29,Thank you for allowing me to participate!,38.851806640625,-94.778602600098,-1,
R_bC4ocgoQYSDio2V,Default Response Set,Anonymous,,,216.41.245.118,0,2014-05-17 08:26:55,2014-05-17 08:37:15,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,1,2,5,4,3,1,1,1,1,,,,,3,3,2,4,4,4,64.438,76.21600000000001,77.78,6,1,,1,,,,4,3,4,3,3,4,55.687,74.46599999999998,75.669,6,1,,,,1,,4,1,5,4,2,4,171.059,183.543,185.106,6,1,,,1,,,3,2,3,4,3,3,54.885,61.49700000000001,64.365,6,1,,,,,1,4,2,4,4,2,4,59.729,73.30199999999998,74.336,6,1,3,5,,,3,,,6,2,7,4,7,2,7,6,5,1,2,46,,36.540603637695,-82.17569732666,-1,
R_eFZKh0wAQ8dzmWp,Default Response Set,Anonymous,,,109.201.154.143,0,2014-05-17 08:30:04,2014-05-17 08:37:35,1,,,,,,1,1,,,,,,1,1,1,,,,,,2,4,2,5,5,3,,,,,1,,,,,,4,1,4,2,1,1,,,,,1,,,,,,5,2,5,2,2,1,,,,,1,,,,,,3,4,4,5,3,2,,,,,1,,,,,,3,3,4,3,2,1,,,,,1,2,1,,,1,,,7,1,7,1,3,5,2,3,4,5,1,28,,52.5,5.75,-1,
R_39Hd8re7XC0G1RH,Default Response Set,Anonymous,,,64.85.133.225,0,2014-05-17 08:33:36,2014-05-17 08:37:42,1,tax breaks,food stamps,control,safe sex,intelligent design,6,6,2,1,3,4,5,1,1,1,,,1,,,2,3,3,3,2,2,20.8,30.098000000000003,31.217,6,1,,1,,,,5,2,3,4,2,4,23.999,35.672999999999995,36.743,6,1,1,,,,,2,4,3,4,3,4,24.296,33.788999999999994,34.823,6,1,,,,1,,1,4,2,5,3,5,19.779,30.094000000000005,31.038,6,1,,,,,1,2,3,3,3,2,2,15.651,28.9,30.109,6,1,3,3,,,5,,,7,2,4,1,6,2,7,6,5,2,1,20,Thank you!,42.974197387695,-85.931098937988,-1,
R_exO8uYyOeuwM0oB,Default Response Set,Anonymous,,,24.197.216.6,0,2014-05-17 08:31:54,2014-05-17 08:38:09,1,intelligent design,control,safe sex,tax breaks,food stamps,6,6,3,1,2,4,5,1,1,1,,,,,1,3,3,2,4,4,3,26.094,35.757,37.769,6,1,1,,,,,5,1,3,4,4,4,68.325,100.69300000000003,103.288,7,1,,,,1,,5,1,4,2,3,3,13.447,43.647,47.768,7,1,,,1,,,4,2,3,4,4,4,17.468,27.58,28.799,6,1,,1,,,,5,1,5,1,1,2,13.127,27.59,28.57,7,1,3,,,1,,,1,7,1,7,4,4,5,7,4,2,2,2,28,"None specifically, would be willing to do a survey for you again though.",44.071502685547,-92.527900695801,-1,
R_3kQnwFsa0KxU1zD,Default Response Set,Anonymous,,,50.129.18.234,0,2014-05-17 08:35:13,2014-05-17 08:38:39,1,safe sex,food stamps,tax breaks,intelligent design,control,6,6,1,2,4,3,5,1,1,1,,,,1,,3,3,3,5,3,5,24.967,34.083,34.602,8,1,,1,,,,5,1,5,1,1,3,12.526,20.830000000000002,21.273,6,1,,,1,,,3,3,5,3,1,3,14.542,19.636000000000003,23.161,8,1,,,,,1,1,5,1,5,5,5,23.357,27.739,29.079,6,1,1,,,,,1,5,3,3,3,3,14.278,18.44,19.622,6,1,3,1,,,1,,,7,1,7,1,7,4,3,7,1,1,1,26,TY!,39.192306518555,-86.020698547363,-1,
R_1HV0Rvd1MlNjFOt,Default Response Set,Anonymous,,,68.194.10.31,0,2014-05-17 08:29:26,2014-05-17 08:39:03,1,control,tax breaks,food stamps,safe sex,intelligent design,6,6,3,5,2,4,1,1,1,1,1,,,,,1,5,1,5,5,5,2.997,51.87700000000001,57.005,9,1,,,1,,,2,4,3,3,3,3,2.938,54.241,58.602,9,1,,1,,,,2,4,3,4,3,4,9.304,74.232,82.968,8,1,,,,1,,2,4,2,4,4,4,2.949,59.184,64.721,10,1,,,,,1,1,5,2,5,4,4,5.606,85.52500000000002,89.773,9,1,2,1,,,4,,,7,1,7,2,5,2,7,7,1,1,2,35,Thank you!,40.781005859375,-73.252197265625,-1,
R_ehadoTaMNjGyYAt,Default Response Set,Anonymous,,,99.47.88.218,0,2014-05-17 08:32:24,2014-05-17 08:40:12,1,food stamps,intelligent design,tax breaks,control,safe sex,6,6,4,5,2,1,3,1,1,1,,1,,,,5,1,5,3,1,4,52.51,68.696,69.532,6,1,,,,,1,5,1,5,4,1,4,30.489,39.523,40.812,6,1,,,1,,,1,4,3,4,2,3,54.606,67.23400000000001,68.121,6,1,1,,,,,5,1,5,4,1,4,46.505,60.85,62.584,6,1,,,,1,,4,3,4,4,2,3,41.414,54.687999999999995,57.921,7,1,2,2,,,2,,,7,1,7,1,4,7,1,4,1,3,2,51,,33.073501586914,-96.903198242188,-1,
R_9NMDCfgDQ26k4O9,Default Response Set,Anonymous,,,76.127.106.140,0,2014-05-17 08:31:57,2014-05-17 08:40:24,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,5,3,1,2,4,1,1,1,1,,,,,4,2,3,2,2,4,25.836,32.339,33.048,6,1,,1,,,,5,1,5,2,2,2,17.418,23.865999999999996,24.446,6,1,,,1,,,4,2,4,2,2,3,36.685,42.861000000000004,49.354,6,1,,,,1,,5,1,5,3,2,2,38.807,45.846000000000004,46.523,6,1,,,,,1,5,1,4,2,2,2,33.026,38.818000000000005,39.32,6,1,2,2,,,2,,,6,2,6,5,3,4,3,4,3,3,1,19,,37.678298950195,-120.95010375977,-1,
R_8bNztdCeNpdzMvr,Default Response Set,Anonymous,,,199.115.114.204,0,2014-05-17 08:37:42,2014-05-17 08:40:43,1,control,safe sex,tax breaks,food stamps,intelligent design,6,6,1,4,2,3,5,1,1,1,1,,,,,3,4,3,3,2,4,3.058,9.619,10.067,8,1,,,,1,,4,2,3,3,4,4,3.669,6.549,6.997,7,1,,,1,,,4,3,3,4,4,3,4.084,6.3469999999999995,7.437,6,1,,1,,,,2,3,4,4,4,2,26.658,29.385,29.899,8,1,,,,,1,4,4,3,2,3,4,4.503,6.191000000000002,6.648,6,1,2,6,,,5,,,3,6,6,4,5,5,5,6,3,5,1,23,,39.715698242188,-75.528099060059,-1,
R_9zgH53sNK5wTeuh,Default Response Set,Anonymous,,,24.199.122.29,0,2014-05-17 08:32:57,2014-05-17 08:40:47,1,tax breaks,control,food stamps,intelligent design,safe sex,6,6,3,2,1,4,5,1,1,1,,,1,,,2,4,3,4,3,4,47.319,58.624,59.161,6,1,1,,,,,3,3,3,3,3,3,59.702,65.735,66.714,6,1,,1,,,,2,4,3,3,3,4,67.934,78.28100000000002,79.614,6,1,,,,,1,4,2,4,2,2,2,50.889,58.33200000000001,58.996,6,1,,,,1,,3,3,4,2,2,2,42.766,48.888999999999996,49.418,6,1,2,4,,,4,,,4,2,4,5,5,4,3,5,4,2,1,23,,40.750595092773,-73.82039642334,-1,
R_9M5obXRJlSoqUjb,Default Response Set,Anonymous,,,98.65.220.27,0,2014-05-17 08:32:22,2014-05-17 08:40:50,1,intelligent design,control,food stamps,tax breaks,safe sex,6,6,1,5,2,3,4,1,1,1,,,,,1,2,3,3,4,4,4,44.744,55.50300000000001,56.674,6,1,1,,,,,3,3,3,4,3,4,31.896,38.579,39.8,6,1,,1,,,,3,2,3,3,2,3,63.544,79.08,82.895,7,1,,,1,,,4,3,4,3,3,3,26.847,36.942,38.11,6,1,,,,1,,3,3,4,4,3,3,9.16,16.318,17.539,6,1,3,4,,,5,,,5,4,4,4,7,1,7,7,1,1,2,29,,35.960601806641,-83.920700073242,-1,
R_3h3AX8tAZVyL3CJ,Default Response Set,Anonymous,,,92.84.161.253,0,2014-05-17 08:37:41,2014-05-17 08:40:51,1,control,food stamps,safe sex,tax breaks,intelligent design,6,6,5,3,1,2,4,1,1,1,1,,,,,3,4,2,3,2,3,13.256,17.346000000000004,18.035,8,1,,1,,,,3,4,4,4,3,2,3.388,5.867000000000001,6.645,8,1,,,,1,,4,2,3,4,4,3,1.463,10.102999999999996,10.624,7,1,,,1,,,3,3,4,4,3,2,26.723,29.603,30.14,7,1,,,,,1,3,2,4,4,4,3,3.371,6.619,7.044,7,1,2,2,,,6,,,5,5,6,3,4,3,5,4,4,6,1,25,,47.75,26.666702270508,-1,
R_blKAefZBLKtTgup,Default Response Set,Anonymous,,,98.90.8.240,0,2014-05-17 08:37:24,2014-05-17 08:42:10,1,control,intelligent design,safe sex,tax breaks,food stamps,6,6,1,4,5,3,2,1,1,1,1,,,,,3,3,3,4,2,2,32.736,41.983000000000004,43.124,6,1,,,,,1,5,1,5,1,1,1,37.827,43.298,44.212,6,1,,,,1,,3,2,4,2,2,2,17.111,25.439,26.194,6,1,,,1,,,4,1,4,1,1,1,17.508,24.147,25.646,6,1,,1,,,,3,2,4,1,1,1,26.488,34.311,35.139,7,1,1,4,,,5,,,6,6,6,6,6,2,3,6,1,2,1,43,Thank you!  ,30.522994995117,-87.903297424316,-1,
